CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
"",N,D,Q,S,ADMP,Y,N,100,Adamis Pharmaceuticals Corporation - Common Stock,ADMP,N
"",N,N,Q,S,ADN,Y,N,100,"Advent Technologies Holdings, Inc. - Class A Common Stock",ADN,N
ADNT,N,"",N, ,ADNT,Y,N,100,Adient plc Ordinary Shares ,ADNT,N
"",N,N,Q,S,ADNWW,Y,N,100,"Advent Technologies Holdings, Inc. - Warrant",ADNWW,N
"",N,D,Q,S,ADOC,Y,N,100,Edoc Acquisition Corp. - Class A Ordinary Share,ADOC,N
"",N,D,Q,S,ADOCR,Y,N,100,Edoc Acquisition Corp. - Right,ADOCR,N
"",N,D,Q,S,ADOCW,Y,N,100,Edoc Acquisition Corp. - Warrant,ADOCW,N
"",N,N,Q,Q,ADP,Y,N,100,"Automatic Data Processing, Inc. - Common Stock",ADP,N
"",N,N,Q,Q,ADPT,Y,N,100,Adaptive Biotechnologies Corporation - Common Stock,ADPT,N
ADPV,Y,"",P, ,ADPV,Y,N,100,Series Portfolios Trust Adaptiv Select ETF,ADPV,N
ADRA,N,"",A, ,ADRA,Y,N,100,Adara Acquisition Corp. Class A Common Stock,ADRA,N
ADRA.U,N,"",A, ,ADRA=,Y,N,100,"Adara Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-half of one redeemable warrant",ADRA.U,N
ADRA.WS,N,"",A, ,ADRA+,Y,N,100,"Adara Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50",ADRA.W,N
"",Y,N,Q,G,ADRE,Y,N,100,Invesco BLDRS Emerging Markets 50 ADR Index Fund,ADRE,N
ADRT,N,"",A, ,ADRT,Y,N,100,Ault Disruptive Technologies Corporation Common Stock,ADRT,N
ADRT.U,N,"",A, ,ADRT=,Y,N,100,"Ault Disruptive Technologies Corporation Units, each consisting of one share of Common Stock, and three-fourths of one Redeemable Warrant to purchase one share of Common Stock",ADRT.U,N
"",N,N,Q,S,ADSE,Y,N,100,ADS-TEC ENERGY PLC - Ordinary Shares,ADSE,N
"",N,N,Q,S,ADSEW,Y,N,100,ADS-TEC ENERGY PLC - Warrant,ADSEW,N
